start_point_id,end_point_id,length,rep_id,status,start_point_lat,start_point_lon,start_point_name,end_point_lat,end_point_lon,end_point_name
30,18,436.2716913,38,2,75.9,152.6,Лаптевых - 3 (восток),70.7,170.5,Восточно-Сибирское - 1 (восток)
40,9,229.4577372,27,2,75.5,131.5,Лаптевых - 2 (центр),74.9,116.7,Лаптевых - 4 (юг)
21,4,297.1508085,2,1,76.2,58.3,около Новой Земли,73.0,44.0,Штокман
16,34,296.3206745,60,2,77.3,67.7,Мыс Желания,72.4,65.6,Ленинградское-Русановское
45,17,373.6308274,46,2,65.9,-169.35,Берингов пролив,71.74,184.7,остров Врангеля
17,18,281.0870454,44,2,71.74,184.7,остров Врангеля,70.7,170.5,Восточно-Сибирское - 1 (восток)
18,26,98.81552937,109,2,70.7,170.5,Восточно-Сибирское - 1 (восток),69.1,169.4,мыс.Наглёйнын
38,46,460.2848327,110,1,60.7,175.3,кромка льда на Востоке,55.7,164.25,Окно в Азию
30,33,260.5701136,37,2,75.9,152.6,Лаптевых - 3 (восток),72.0,159.5,Восточно-Сибирское - 2 (запад)
24,22,179.7422785,33,2,74.0,128.1,устье Лены,74.4,139.0,Пролив Санникова - 1
10,16,263.6393465,9,2,73.1,72.7,Вход в Обскую губу,77.3,67.7,Мыс Желания
27,45,355.6231614,47,2,69.9,179.0,пролив Лонга,65.9,-169.35,Берингов пролив
7,36,157.6035239,19,2,76.4,86.4,Карское - 3 (центр),76.5,97.6,Таймырский залив
7,20,192.4522229,18,2,76.4,86.4,Карское - 3 (центр),77.7,99.5,пролив Вилькицкого - запад
34,13,215.0532376,61,2,72.4,65.6,Ленинградское-Русановское,74.0,76.7,Карское - 1 (сбор каравана)
43,36,223.5714878,20,2,74.8,84.2,Карское - 2 (прибрежный),76.5,97.6,Таймырский залив
6,7,352.936821,58,2,74.6,63.9,Победа месторождение,76.4,86.4,Карское - 3 (центр)
10,25,108.6630553,101,1,73.1,72.7,Вход в Обскую губу,71.3,72.15,Сабетта
37,38,414.6912251,49,1,64.2,188.2,Берингово,60.7,175.3,кромка льда на Востоке
13,15,410.4549185,7,2,74.0,76.7,Карское - 1 (сбор каравана),70.3,57.8,Карские ворота
7,16,260.1771091,16,2,76.4,86.4,Карское - 3 (центр),77.3,67.7,Мыс Желания
6,16,171.4172136,57,2,74.6,63.9,Победа месторождение,77.3,67.7,Мыс Желания
36,19,116.7439955,21,2,76.5,97.6,Таймырский залив,77.8,104.1,пролив Вилькицкого - восток
33,23,261.600589,36,2,72.0,159.5,Восточно-Сибирское - 2 (запад),74.3,146.7,Пролив Санникова - 2
20,16,409.3111575,17,2,77.7,99.5,пролив Вилькицкого - запад,77.3,67.7,Мыс Желания
10,15,326.4328417,6,2,73.1,72.7,Вход в Обскую губу,70.3,57.8,Карские ворота
34,15,195.7328443,59,2,72.4,65.6,Ленинградское-Русановское,70.3,57.8,Карские ворота
44,2,156.0644819,52,1,67.58,47.82,Индига,69.9,44.6,кромка льда на Западе
14,0,45.6421557,106,1,72.35,79.6,Лескинское м-е,73.1,80.0,Бухта Север и Диксон
8,9,206.5979139,25,2,77.6,107.7,пролив Вилькицкого - 3,74.9,116.7,Лаптевых - 4 (юг)
2,5,456.2676239,111,1,69.9,44.6,кромка льда на Западе,71.5,22.0,Окно в Европу
16,21,145.1826364,11,1,77.3,67.7,Мыс Желания,76.2,58.3,около Новой Земли
27,28,275.6604549,42,2,69.9,179.0,пролив Лонга,73.5,169.9,Восточно-Сибирское - 3 (север)
13,43,130.3081116,14,2,74.0,76.7,Карское - 1 (сбор каравана),74.8,84.2,Карское - 2 (прибрежный)
19,20,58.95750201,22,2,77.8,104.1,пролив Вилькицкого - восток,77.7,99.5,пролив Вилькицкого - запад
6,15,280.7806599,56,2,74.6,63.9,Победа месторождение,70.3,57.8,Карские ворота
2,41,227.2269304,112,1,69.9,44.6,кромка льда на Западе,69.5,33.75,Рейд Мурманска
22,23,124.9092209,34,2,74.4,139.0,Пролив Санникова - 1,74.3,146.7,Пролив Санникова - 2
17,28,285.0795135,43,2,71.74,184.7,остров Врангеля,73.5,169.9,Восточно-Сибирское - 3 (север)
