COORDINATES,ICE
"[48.0, 61.0596]",-10.0
"[48.0, 60.9596]",-10.0
"[48.0, 60.8585]",-10.0
"[49.0, 60.7562]",-10.0
"[49.0, 60.6527]",-10.0
"[50.0, 60.5481]",-10.0
"[50.0, 60.4423]",-10.0
"[50.0, 60.3355]",-10.0
"[51.0, 60.2275]",-10.0
"[51.0, 60.1185]",-10.0
"[51.0, 60.0084]",-10.0
"[52.0, 59.8972]",-10.0
"[52.0, 59.785]",-10.0
"[52.0, 59.6718]",-10.0
"[53.0, 59.5576]",-10.0
"[53.0, 59.4424]",-10.0
"[53.0, 59.3262]",-10.0
"[54.0, 59.209]",-10.0
"[54.0, 59.0909]",-10.0
"[54.0, 58.9719]",-10.0
"[55.0, 58.8519]",-10.0
"[55.0, 58.731]",-10.0
"[55.0, 58.6093]",-10.0
"[56.0, 58.4866]",-10.0
"[56.0, 58.3631]",-10.0
"[56.0, 58.2387]",-10.0
"[57.0, 58.1135]",-10.0
"[57.0, 57.9875]",-10.0
"[57.0, 57.8606]",-10.0
"[58.0, 57.7329]",-10.0
"[58.0, 57.6045]",-10.0
"[58.0, 57.4753]",-10.0
"[59.0, 57.3453]",-10.0
"[59.0, 57.2146]",-10.0
"[59.0, 57.0831]",-10.0
"[59.0, 56.9509]",-10.0
"[60.0, 56.818]",-10.0
"[60.0, 56.6844]",-10.0
"[60.0, 56.5501]",-10.0
"[61.0, 56.4151]",-10.0
"[61.0, 56.2794]",-10.0
"[61.0, 56.1431]",-10.0
"[61.0, 56.0062]",-10.0
"[62.0, 55.8686]",-10.0
"[62.0, 55.7304]",-10.0
"[62.0, 55.5916]",-10.0
"[62.0, 55.4522]",-10.0
"[63.0, 55.3122]",-10.0
"[63.0, 55.1717]",-10.0
"[63.0, 55.0305]",-10.0
"[63.0, 54.8889]",-10.0
"[64.0, 54.7466]",-10.0
"[64.0, 54.6039]",-10.0
"[64.0, 54.4606]",-10.0
"[65.0, 54.3168]",-10.0
"[65.0, 54.1725]",-10.0
"[65.0, 54.0277]",-10.0
"[65.0, 53.8824]",-10.0
"[65.0, 53.7366]",-10.0
"[66.0, 53.5904]",-10.0
"[66.0, 53.4437]",-10.0
"[66.0, 53.2966]",-10.0
"[66.0, 53.149]",-10.0
"[67.0, 53.001]",-10.0
"[67.0, 52.8526]",-10.0
"[67.0, 52.7038]",-10.0
"[67.0, 52.5545]",-10.0
"[68.0, 52.4049]",-10.0
"[68.0, 52.2549]",-10.0
"[68.0, 52.1045]",-10.0
"[68.0, 51.9537]",-10.0
"[68.0, 51.8026]",-10.0
"[69.0, 51.6511]",-10.0
"[69.0, 51.4993]",-10.0
"[69.0, 51.3472]",-10.0
"[69.0, 51.1947]",-10.0
"[69.0, 51.0419]",-10.0
"[70.0, 50.8888]",-10.0
"[70.0, 50.7353]",-10.0
"[70.0, 50.5816]",-10.0
"[70.0, 50.4276]",-10.0
"[70.0, 50.2733]",-10.0
"[71.0, 50.1187]",-10.0
"[71.0, 49.9638]",-10.0
"[71.0, 49.8087]",-10.0
"[71.0, 49.6533]",-10.0
"[71.0, 49.4977]",-10.0
"[72.0, 49.3418]",-10.0
"[72.0, 49.1857]",-10.0
"[72.0, 49.0294]",-10.0
"[72.0, 48.8728]",-10.0
"[72.0, 48.716]",-10.0
"[73.0, 48.559]",-10.0
"[73.0, 48.4018]",-10.0
"[73.0, 48.2444]",-10.0
"[73.0, 48.0868]",-10.0
"[73.0, 47.929]",-10.0
"[73.0, 47.771]",-10.0
"[74.0, 47.6129]",-10.0
"[74.0, 47.4546]",-10.0
"[74.0, 47.2961]",-10.0
"[74.0, 47.1374]",-10.0
"[74.0, 46.9786]",-10.0
"[74.0, 46.8197]",-10.0
"[75.0, 46.6606]",-10.0
"[75.0, 46.5014]",-10.0
"[75.0, 46.342]",-10.0
"[75.0, 46.1825]",-10.0
"[75.0, 46.0229]",-10.0
"[75.0, 45.8631]",-10.0
"[76.0, 45.7033]",-10.0
"[76.0, 45.5433]",-10.0
"[76.0, 45.3833]",-10.0
"[76.0, 45.2231]",-10.0
"[76.0, 45.0628]",-10.0
"[76.0, 44.9025]",-10.0
"[76.0, 44.7421]",-10.0
"[77.0, 44.5815]",-10.0
"[77.0, 44.4209]",-10.0
"[77.0, 44.2603]",-10.0
"[77.0, 44.0995]",-10.0
"[77.0, 43.9387]",-10.0
"[77.0, 43.7779]",-10.0
"[77.0, 43.617]",-10.0
"[78.0, 43.456]",-10.0
"[78.0, 43.295]",-10.0
"[78.0, 43.1339]",-10.0
"[78.0, 42.9728]",-10.0
"[78.0, 42.8117]",-10.0
"[78.0, 42.6505]",-10.0
"[78.0, 42.4893]",-10.0
"[78.0, 42.3281]",-10.0
"[79.0, 42.1669]",-10.0
"[79.0, 42.0056]",-10.0
"[79.0, 41.8443]",-10.0
"[79.0, 41.6831]",-10.0
"[79.0, 41.5218]",-10.0
"[79.0, 41.3605]",-10.0
"[79.0, 41.1992]",-10.0
"[80.0, 41.0379]",-10.0
"[80.0, 40.8766]",-10.0
"[80.0, 40.7153]",-10.0
"[80.0, 40.5541]",-10.0
"[80.0, 40.3928]",-10.0
"[80.0, 40.2316]",-10.0
"[80.0, 40.0704]",-10.0
"[80.0, 39.9092]",-10.0
"[80.0, 39.748]",-10.0
"[81.0, 39.5869]",-10.0
"[81.0, 39.4258]",-10.0
"[81.0, 39.2648]",-10.0
"[81.0, 39.1038]",-10.0
"[81.0, 38.9428]",-10.0
"[81.0, 38.7819]",-10.0
"[81.0, 38.621]",-10.0
"[20.0, 64.5703]",-10.0
"[20.0, 64.5694]",-10.0
"[20.0, 64.5666]",-10.0
"[21.0, 64.562]",-10.0
"[21.0, 64.5555]",0.0
"[22.0, 64.5471]",0.0
"[22.0, 64.5369]",0.0
"[23.0, 64.5248]",-10.0
"[23.0, 64.5109]",0.0
"[24.0, 64.4951]",-10.0
"[24.0, 64.4775]",-10.0
"[25.0, 64.4581]",-10.0
"[25.0, 64.4368]",-10.0
"[26.0, 64.4137]",-10.0
"[26.0, 64.3888]",-10.0
"[27.0, 64.362]",-10.0
"[27.0, 64.3335]",-10.0
"[28.0, 64.3031]",-10.0
"[28.0, 64.271]",-10.0
"[29.0, 64.237]",-10.0
"[29.0, 64.2013]",-10.0
"[30.0, 64.1638]",-10.0
"[30.0, 64.1246]",-10.0
"[31.0, 64.0836]",-10.0
"[31.0, 64.0408]",-10.0
"[32.0, 63.9963]",-10.0
"[32.0, 63.9501]",-10.0
"[33.0, 63.9022]",-10.0
"[33.0, 63.8526]",-10.0
"[34.0, 63.8013]",-10.0
"[34.0, 63.7483]",-10.0
"[35.0, 63.6936]",-10.0
"[35.0, 63.6373]",-10.0
"[36.0, 63.5794]",-10.0
"[36.0, 63.5198]",-10.0
"[36.0, 63.4586]",-10.0
"[37.0, 63.3958]",-10.0
"[37.0, 63.3314]",-10.0
"[38.0, 63.2654]",-10.0
"[38.0, 63.1978]",-10.0
"[39.0, 63.1287]",-10.0
"[39.0, 63.0581]",-10.0
"[40.0, 62.9859]",-10.0
"[40.0, 62.9122]",-10.0
"[40.0, 62.8371]",-10.0
"[41.0, 62.7604]",-10.0
"[41.0, 62.6823]",-10.0
"[42.0, 62.6027]",-10.0
"[42.0, 62.5217]",-10.0
"[43.0, 62.4393]",-10.0
"[43.0, 62.3555]",-10.0
"[43.0, 62.2703]",-10.0
"[44.0, 62.1837]",-10.0
"[44.0, 62.0957]",-10.0
"[45.0, 62.0064]",-10.0
"[45.0, 61.9158]",-10.0
"[45.0, 61.8238]",-10.0
"[46.0, 61.7306]",-10.0
"[46.0, 61.636]",-10.0
"[47.0, 61.5402]",-10.0
"[47.0, 61.4432]",-10.0
"[47.0, 61.3449]",-10.0
"[48.0, 61.2454]",-10.0
"[48.0, 61.1447]",-10.0
"[49.0, 61.0428]",-10.0
"[49.0, 60.9397]",-10.0
"[49.0, 60.8354]",-10.0
"[50.0, 60.7301]",-10.0
"[50.0, 60.6235]",-10.0
"[50.0, 60.5159]",-10.0
"[51.0, 60.4072]",-10.0
"[51.0, 60.2974]",-10.0
"[52.0, 60.1865]",-10.0
"[52.0, 60.0745]",-10.0
"[52.0, 59.9616]",-10.0
"[53.0, 59.8476]",-10.0
"[53.0, 59.7325]",-10.0
"[53.0, 59.6165]",-10.0
"[54.0, 59.4996]",-10.0
"[54.0, 59.3816]",-10.0
"[54.0, 59.2627]",-10.0
"[55.0, 59.1429]",-10.0
"[55.0, 59.0221]",-10.0
"[55.0, 58.9004]",-10.0
"[56.0, 58.7779]",-10.0
"[56.0, 58.6544]",-10.0
"[56.0, 58.5301]",-10.0
"[57.0, 58.4049]",-10.0
"[57.0, 58.2789]",-10.0
"[57.0, 58.1521]",-10.0
"[58.0, 58.0244]",-10.0
"[58.0, 57.896]",-10.0
"[58.0, 57.7667]",-10.0
"[58.0, 57.6367]",-10.0
"[59.0, 57.5059]",-10.0
"[59.0, 57.3744]",-10.0
"[59.0, 57.2422]",-10.0
"[60.0, 57.1092]",-10.0
"[60.0, 56.9755]",-10.0
"[60.0, 56.8411]",-10.0
"[61.0, 56.706]",-10.0
"[61.0, 56.5703]",-10.0
"[61.0, 56.4338]",-10.0
"[61.0, 56.2968]",-10.0
"[62.0, 56.159]",-10.0
"[62.0, 56.0207]",-10.0
"[62.0, 55.8817]",-10.0
"[62.0, 55.7422]",-10.0
"[63.0, 55.602]",-10.0
"[63.0, 55.4613]",-10.0
"[63.0, 55.32]",-10.0
"[63.0, 55.1781]",-10.0
"[64.0, 55.0356]",-10.0
"[64.0, 54.8927]",-10.0
"[64.0, 54.7491]",-10.0
"[65.0, 54.6051]",-10.0
"[65.0, 54.4606]",-10.0
"[65.0, 54.3155]",-10.0
"[65.0, 54.17]",-10.0
"[65.0, 54.024]",-10.0
"[66.0, 53.8775]",-10.0
"[66.0, 53.7305]",-10.0
"[66.0, 53.5831]",-10.0
"[66.0, 53.4353]",-10.0
"[67.0, 53.287]",-10.0
"[67.0, 53.1383]",-10.0
"[67.0, 52.9892]",-10.0
"[67.0, 52.8396]",-10.0
"[68.0, 52.6897]",-10.0
"[68.0, 52.5394]",-10.0
"[68.0, 52.3887]",-10.0
"[68.0, 52.2376]",-10.0
"[68.0, 52.0861]",-10.0
"[69.0, 51.9343]",-10.0
"[69.0, 51.7822]",-10.0
"[69.0, 51.6297]",-10.0
"[69.0, 51.4768]",-10.0
"[69.0, 51.3237]",-10.0
"[70.0, 51.1702]",-10.0
"[70.0, 51.0164]",-10.0
"[70.0, 50.8623]",-10.0
"[70.0, 50.7079]",-10.0
"[70.0, 50.5532]",-10.0
"[71.0, 50.3983]",-10.0
"[71.0, 50.243]",-10.0
"[71.0, 50.0875]",-10.0
"[71.0, 49.9318]",-10.0
"[71.0, 49.7757]",-10.0
"[72.0, 49.6195]",-10.0
"[72.0, 49.463]",-10.0
"[72.0, 49.3062]",-10.0
"[72.0, 49.1493]",-10.0
"[72.0, 48.9921]",-10.0
"[73.0, 48.8347]",-10.0
"[73.0, 48.6771]",-10.0
"[73.0, 48.5192]",-10.0
"[73.0, 48.3612]",-10.0
"[73.0, 48.203]",-10.0
"[73.0, 48.0446]",-10.0
"[74.0, 47.8861]",-10.0
"[74.0, 47.7273]",-10.0
"[74.0, 47.5684]",-10.0
"[74.0, 47.4093]",-10.0
"[74.0, 47.2501]",-10.0
"[74.0, 47.0907]",-10.0
"[75.0, 46.9312]",-10.0
"[75.0, 46.7715]",-10.0
"[75.0, 46.6117]",-10.0
"[75.0, 46.4518]",-10.0
"[75.0, 46.2917]",-10.0
"[75.0, 46.1315]",-10.0
"[76.0, 45.9713]",-10.0
"[76.0, 45.8109]",-10.0
"[76.0, 45.6503]",-10.0
"[76.0, 45.4897]",-10.0
"[76.0, 45.329]",-10.0
"[76.0, 45.1682]",-10.0
"[76.0, 45.0073]",-10.0
"[77.0, 44.8464]",-10.0
"[77.0, 44.6853]",-10.0
"[77.0, 44.5242]",-10.0
"[77.0, 44.363]",-10.0
"[77.0, 44.2017]",-10.0
"[77.0, 44.0404]",-10.0
"[77.0, 43.879]",-10.0
"[78.0, 43.7176]",-10.0
"[78.0, 43.5561]",-10.0
"[78.0, 43.3946]",-10.0
"[78.0, 43.233]",-10.0
"[78.0, 43.0714]",-10.0
"[78.0, 42.9098]",-10.0
"[78.0, 42.7481]",-10.0
"[79.0, 42.5865]",-10.0
"[79.0, 42.4247]",-10.0
"[79.0, 42.263]",-10.0
"[79.0, 42.1013]",-10.0
"[79.0, 41.9395]",-10.0
"[79.0, 41.7778]",-10.0
"[79.0, 41.616]",-10.0
"[79.0, 41.4542]",-10.0
"[80.0, 41.2925]",-10.0
"[80.0, 41.1307]",-10.0
"[80.0, 40.9689]",-10.0
"[80.0, 40.8072]",-10.0
"[80.0, 40.6455]",-10.0
"[80.0, 40.4838]",-10.0
"[80.0, 40.3221]",-10.0
"[80.0, 40.1604]",-10.0
"[81.0, 39.9988]",-10.0
"[81.0, 39.8372]",-10.0
"[81.0, 39.6756]",-10.0
"[81.0, 39.5141]",-10.0
"[81.0, 39.3526]",-10.0
"[81.0, 39.1912]",-10.0
"[81.0, 39.0298]",-10.0
"[81.0, 38.8684]",-10.0
"[81.0, 38.7071]",-10.0
"[20.0, 64.7844]",-10.0
"[20.0, 64.7834]",-10.0
"[21.0, 64.7806]",-10.0
"[21.0, 64.7759]",0.0
"[22.0, 64.7693]",0.0
"[22.0, 64.7609]",0.0
"[23.0, 64.7506]",0.0
"[23.0, 64.7384]",0.0
"[24.0, 64.7243]",0.0
"[24.0, 64.7084]",0.0
"[25.0, 64.6907]",-10.0
"[25.0, 64.671]",-10.0
"[26.0, 64.6495]",-10.0
"[26.0, 64.6262]",-10.0
"[27.0, 64.6011]",-10.0
"[27.0, 64.5741]",-10.0
"[27.0, 64.5452]",-10.0
"[28.0, 64.5146]",-10.0
"[28.0, 64.4821]",-10.0
"[29.0, 64.4479]",-10.0
"[29.0, 64.4118]",-10.0
"[30.0, 64.374]",-10.0
"[30.0, 64.3344]",-10.0
"[31.0, 64.293]",-10.0
"[31.0, 64.2499]",-10.0
"[32.0, 64.205]",-10.0
"[32.0, 64.1583]",-10.0
"[33.0, 64.11]",-10.0
"[33.0, 64.0599]",-10.0
"[34.0, 64.0081]",-10.0
"[34.0, 63.9547]",-10.0
"[35.0, 63.8995]",-10.0
"[35.0, 63.8427]",-10.0
"[36.0, 63.7842]",-10.0
"[36.0, 63.7241]",-10.0
"[37.0, 63.6623]",-10.0
"[37.0, 63.599]",-10.0
"[37.0, 63.534]",-10.0
"[38.0, 63.4674]",-10.0
"[38.0, 63.3993]",-10.0
"[39.0, 63.3296]",-10.0
"[39.0, 63.2584]",-10.0
"[40.0, 63.1856]",-10.0
"[40.0, 63.1113]",-10.0
"[41.0, 63.0355]",-10.0
"[41.0, 62.9582]",-10.0
"[41.0, 62.8794]",-10.0
"[42.0, 62.7992]",-10.0
"[42.0, 62.7175]",-10.0
"[43.0, 62.6344]",-10.0
"[43.0, 62.5499]",-10.0
"[44.0, 62.4639]",-10.0
"[44.0, 62.3766]",-10.0
"[44.0, 62.288]",-10.0
"[45.0, 62.1979]",-10.0
"[45.0, 62.1066]",-10.0
"[46.0, 62.0139]",-10.0
"[46.0, 61.9199]",-10.0
"[46.0, 61.8246]",-10.0
"[47.0, 61.7281]",-10.0
"[47.0, 61.6303]",-10.0
"[48.0, 61.5313]",-10.0
"[48.0, 61.431]",-10.0
"[48.0, 61.3295]",-10.0
"[49.0, 61.2268]",-10.0
"[49.0, 61.123]",-10.0
"[50.0, 61.018]",-10.0
"[50.0, 60.9118]",-10.0
"[50.0, 60.8045]",-10.0
"[51.0, 60.6961]",-10.0
"[51.0, 60.5866]",-10.0
"[51.0, 60.476]",-10.0
"[52.0, 60.3643]",-10.0
"[52.0, 60.2516]",-10.0
"[52.0, 60.1378]",-10.0
"[53.0, 60.023]",-10.0
"[53.0, 59.9072]",-10.0
"[54.0, 59.7904]",-10.0
"[54.0, 59.6726]",-10.0
"[54.0, 59.5538]",-10.0
"[55.0, 59.4341]",-10.0
"[55.0, 59.3135]",-10.0
"[55.0, 59.1919]",-10.0
"[56.0, 59.0694]",-10.0
"[56.0, 58.9461]",-10.0
"[56.0, 58.8218]",-10.0
"[57.0, 58.6967]",-10.0
"[57.0, 58.5707]",-10.0
"[57.0, 58.4439]",-10.0
"[57.0, 58.3163]",-10.0
"[58.0, 58.1878]",-10.0
"[58.0, 58.0586]",-10.0
"[58.0, 57.9286]",-10.0
"[59.0, 57.7978]",-10.0
"[59.0, 57.6662]",-10.0
"[59.0, 57.5339]",-10.0
"[60.0, 57.4008]",-10.0
"[60.0, 57.267]",-10.0
"[60.0, 57.1326]",-10.0
"[60.0, 56.9974]",-10.0
"[61.0, 56.8615]",-10.0
"[61.0, 56.725]",-10.0
"[61.0, 56.5878]",-10.0
"[62.0, 56.4499]",-10.0
"[62.0, 56.3114]",-10.0
"[62.0, 56.1723]",-10.0
"[62.0, 56.0326]",-10.0
"[63.0, 55.8923]",-10.0
"[63.0, 55.7513]",-10.0
"[63.0, 55.6098]",-10.0
"[63.0, 55.4677]",-10.0
"[64.0, 55.3251]",-10.0
"[64.0, 55.1819]",-10.0
"[64.0, 55.0382]",-10.0
"[65.0, 54.8939]",-10.0
"[65.0, 54.7491]",-10.0
"[65.0, 54.6039]",-10.0
"[65.0, 54.4581]",-10.0
"[65.0, 54.3118]",-10.0
"[66.0, 54.1651]",-10.0
"[66.0, 54.0178]",-10.0
"[66.0, 53.8702]",-10.0
"[66.0, 53.722]",-10.0
"[67.0, 53.5735]",-10.0
"[67.0, 53.4244]",-10.0
"[67.0, 53.275]",-10.0
"[67.0, 53.1252]",-10.0
"[68.0, 52.9749]",-10.0
"[68.0, 52.8243]",-10.0
"[68.0, 52.6733]",-10.0
"[68.0, 52.5219]",-10.0
"[68.0, 52.3701]",-10.0
"[69.0, 52.2179]",-10.0
"[69.0, 52.0654]",-10.0
"[69.0, 51.9126]",-10.0
"[69.0, 51.7594]",-10.0
"[70.0, 51.6059]",-10.0
"[70.0, 51.4521]",-10.0
"[70.0, 51.2979]",-10.0
"[70.0, 51.1435]",-10.0
"[70.0, 50.9887]",-10.0
"[71.0, 50.8337]",-10.0
"[71.0, 50.6783]",-10.0
"[71.0, 50.5227]",-10.0
"[71.0, 50.3668]",-10.0
"[71.0, 50.2107]",-10.0
"[72.0, 50.0543]",-10.0
"[72.0, 49.8976]",-10.0
"[72.0, 49.7407]",-10.0
"[72.0, 49.5836]",-10.0
"[72.0, 49.4262]",-10.0
"[72.0, 49.2686]",-10.0
"[73.0, 49.1108]",-10.0
"[73.0, 48.9528]",-10.0
"[73.0, 48.7946]",-10.0
"[73.0, 48.6361]",-10.0
"[73.0, 48.4775]",-10.0
"[74.0, 48.3187]",-10.0
"[74.0, 48.1597]",-10.0
"[74.0, 48.0005]",-10.0
"[74.0, 47.8412]",-10.0
"[74.0, 47.6817]",-10.0
"[74.0, 47.522]",-10.0
"[75.0, 47.3622]",-10.0
"[75.0, 47.2023]",-10.0
"[75.0, 47.0422]",-10.0
"[75.0, 46.8819]",-10.0
"[75.0, 46.7215]",-10.0
"[75.0, 46.561]",-10.0
"[75.0, 46.4004]",-10.0
"[76.0, 46.2397]",-10.0
"[76.0, 46.0788]",-10.0
"[76.0, 45.9179]",-10.0
"[76.0, 45.7568]",-10.0
"[76.0, 45.5956]",-10.0
"[76.0, 45.4344]",-10.0
"[77.0, 45.273]",-10.0
"[77.0, 45.1116]",-10.0
"[77.0, 44.9501]",-10.0
"[77.0, 44.7885]",-10.0
"[77.0, 44.6269]",-10.0
"[77.0, 44.4651]",-10.0
"[77.0, 44.3034]",-10.0
"[78.0, 44.1415]",-10.0
"[78.0, 43.9796]",-10.0
"[78.0, 43.8177]",-10.0
"[78.0, 43.6557]",-10.0
"[78.0, 43.4937]",-10.0
"[78.0, 43.3316]",-10.0
"[78.0, 43.1695]",-10.0
"[79.0, 43.0074]",-10.0
"[79.0, 42.8452]",-10.0
"[79.0, 42.683]",-10.0
"[79.0, 42.5208]",-10.0
"[79.0, 42.3586]",-10.0
"[79.0, 42.1964]",-10.0
"[79.0, 42.0342]",-10.0
"[79.0, 41.8719]",-10.0
"[80.0, 41.7097]",-10.0
"[80.0, 41.5474]",-10.0
"[80.0, 41.3852]",-10.0
"[80.0, 41.223]",-10.0
"[80.0, 41.0608]",-10.0
"[80.0, 40.8986]",-10.0
"[80.0, 40.7364]",-10.0
"[80.0, 40.5742]",-10.0
"[81.0, 40.4121]",-10.0
"[81.0, 40.25]",-10.0
"[81.0, 40.0879]",-10.0
"[81.0, 39.9258]",-10.0
"[81.0, 39.7638]",-10.0
"[81.0, 39.6019]",-10.0
"[81.0, 39.4399]",-10.0
"[81.0, 39.2781]",-10.0
"[81.0, 39.1162]",-10.0
"[82.0, 38.9544]",-10.0
"[82.0, 38.7927]",-10.0
"[20.0, 64.9986]",-10.0
"[20.0, 64.9976]",-10.0
"[21.0, 64.9948]",-10.0
"[21.0, 64.99]",0.0
"[22.0, 64.9834]",0.0
"[22.0, 64.9749]",0.0
"[23.0, 64.9645]",0.0
"[23.0, 64.9522]",0.0
"[24.0, 64.938]",0.0
"[24.0, 64.9219]",0.0
"[25.0, 64.904]",0.0
"[25.0, 64.8841]",-10.0
"[26.0, 64.8624]",-10.0
"[26.0, 64.8389]",-10.0
"[27.0, 64.8135]",-10.0
"[27.0, 64.7862]",-10.0
"[28.0, 64.7571]",-10.0
"[28.0, 64.7262]",-10.0
"[29.0, 64.6935]",-10.0
"[29.0, 64.6589]",-10.0
"[30.0, 64.6225]",-10.0
"[30.0, 64.5843]",-10.0
"[31.0, 64.5443]",-10.0
"[31.0, 64.5025]",-10.0
"[31.0, 64.459]",-10.0
"[32.0, 64.4137]",-10.0
"[32.0, 64.3666]",-10.0
"[33.0, 64.3178]",-10.0
"[33.0, 64.2673]",-10.0
"[34.0, 64.215]",-10.0
"[34.0, 64.1611]",-10.0
"[35.0, 64.1054]",-10.0
"[35.0, 64.0481]",-10.0
"[36.0, 63.9891]",-10.0
"[36.0, 63.9284]",-10.0
"[37.0, 63.8661]",-10.0
"[37.0, 63.8022]",0.0
"[38.0, 63.7366]",-10.0
"[38.0, 63.6695]",-10.0
"[39.0, 63.6008]",-10.0
"[39.0, 63.5305]",-10.0
"[39.0, 63.4586]",-10.0
"[40.0, 63.3852]",-10.0
"[40.0, 63.3102]",-10.0
"[41.0, 63.2338]",-10.0
"[41.0, 63.1558]",-10.0
"[42.0, 63.0764]",-10.0
"[42.0, 62.9955]",-10.0
"[43.0, 62.9131]",-10.0
"[43.0, 62.8293]",-10.0
"[43.0, 62.7441]",-10.0
"[44.0, 62.6575]",-10.0
"[44.0, 62.5695]",-10.0
"[45.0, 62.4801]",-10.0
"[45.0, 62.3893]",-10.0
"[45.0, 62.2972]",-10.0
"[46.0, 62.2038]",-10.0
"[46.0, 62.1091]",-10.0
"[47.0, 62.0131]",-10.0
"[47.0, 61.9158]",-10.0
"[47.0, 61.8172]",-10.0
"[48.0, 61.7174]",-10.0
"[48.0, 61.6164]",-10.0
"[49.0, 61.5141]",-10.0
"[49.0, 61.4107]",-10.0
"[49.0, 61.306]",-10.0
"[50.0, 61.2002]",-10.0
"[50.0, 61.0933]",-10.0
"[51.0, 60.9852]",-10.0
"[51.0, 60.876]",-10.0
"[51.0, 60.7657]",-10.0
"[52.0, 60.6543]",-10.0
"[52.0, 60.5418]",-10.0
"[52.0, 60.4283]",-10.0
"[53.0, 60.3137]",-10.0
"[53.0, 60.1981]",-10.0
"[53.0, 60.0815]",-10.0
"[54.0, 59.9639]",-10.0
"[54.0, 59.8453]",-10.0
"[54.0, 59.7257]",-10.0
"[55.0, 59.6052]",-10.0
"[55.0, 59.4838]",-10.0
"[55.0, 59.3614]",-10.0
"[56.0, 59.2381]",-10.0
"[56.0, 59.1139]",-10.0
"[56.0, 58.9889]",-10.0
"[57.0, 58.8629]",-10.0
"[57.0, 58.7362]",-10.0
"[57.0, 58.6085]",-10.0
"[58.0, 58.4801]",-10.0
"[58.0, 58.3508]",-10.0
"[58.0, 58.2208]",-10.0
"[59.0, 58.09]",-10.0
"[59.0, 57.9583]",-10.0
"[59.0, 57.826]",-10.0
"[60.0, 57.6929]",-10.0
"[60.0, 57.559]",-10.0
"[60.0, 57.4245]",-10.0
"[60.0, 57.2892]",-10.0
"[61.0, 57.1532]",-10.0
"[61.0, 57.0166]",-10.0
"[61.0, 56.8792]",-10.0
"[62.0, 56.7412]",-10.0
"[62.0, 56.6026]",-10.0
"[62.0, 56.4633]",-10.0
"[62.0, 56.3235]",-10.0
"[63.0, 56.1829]",-10.0
"[63.0, 56.0418]",-10.0
"[63.0, 55.9001]",-10.0
"[63.0, 55.7579]",-10.0
"[64.0, 55.615]",-10.0
"[64.0, 55.4716]",-10.0
"[64.0, 55.3277]",-10.0
"[65.0, 55.1832]",-10.0
"[65.0, 55.0382]",-10.0
"[65.0, 54.8927]",-10.0
"[65.0, 54.7466]",-10.0
"[65.0, 54.6001]",-10.0
"[66.0, 54.4531]",-10.0
"[66.0, 54.3056]",-10.0
"[66.0, 54.1576]",-10.0
"[66.0, 54.0092]",-10.0
"[67.0, 53.8604]",-10.0
"[67.0, 53.7111]",-10.0
"[67.0, 53.5614]",-10.0
"[67.0, 53.4112]",-10.0
"[68.0, 53.2607]",-10.0
"[68.0, 53.1097]",-10.0
"[68.0, 52.9584]",-10.0
"[68.0, 52.8066]",-10.0
